ticket,application,week_start_date,description
GMC3005398,excel,2002-05-15,issue in managing file permission in one drive contact support@example.com or visit http://company.com/help a at additional issue.
GMC3491287,share point,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit http://docs.company.com an for additional issue.
GMC3241859,excel,2002-05-15,issue in managing file permission in one drive contact admin@company.com or visit http://company.com/help is for additional issue.
GMC3289072,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit http://docs.company.com a which additional issue.
GMC3573428,excel,2002-05-15,the file is not syncing on the one drive system contact support@example.com or visit http://docs.company.com for is additional issue.
GMC3968922,share point,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact user@mail.com or visit http://docs.company.com at is additional issue.
GMC3700601,one drive,2002-05-15,the excel sheet is locked for editing by admin@company.com contact admin@company.com or visit http://company.com/help on which additional issue.
GMC3623990,ppt,2002-05-15,excel chart formatting resets automatically for a user contact user@mail.com or visit https://support.example.com which for additional issue.
GMC3116997,one drive,2002-05-15,ppt crashes when adding images from http://company.com/help contact user@mail.com or visit http://company.com/help the on additional issue.
GMC3780090,one drive,2002-05-15,the file is not syncing on the one drive system contact user@mail.com or visit http://company.com/help is is additional issue.
GMC3149003,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit http://docs.company.com a at additional issue.
GMC3032959,share point,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact admin@company.com or visit https://support.example.com at an additional issue.
GMC3225496,excel,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact admin@company.com or visit http://company.com/help at the additional issue.
GMC3227424,excel,2002-05-15,the file is not syncing on the one drive system contact user@mail.com or visit https://support.example.com the the additional issue.
GMC3914170,share point,2002-05-15,excel chart formatting resets automatically for a user contact support@example.com or visit http://docs.company.com is is additional issue.
GMC3916676,excel,2002-05-15,issue in managing file permission in one drive contact user@mail.com or visit http://docs.company.com the is additional issue.
GMC3744898,ppt,2002-05-15,user unable to upload file on share point due to permission at system level contact user@mail.com or visit http://docs.company.com for the additional issue.
GMC3756650,ppt,2002-05-15,the file is not syncing on the one drive system contact user@mail.com or visit http://docs.company.com which at additional issue.
GMC3392664,ppt,2002-05-15,user unable to upload file on share point due to permission at system level contact support@example.com or visit http://docs.company.com for at additional issue.
GMC3871174,one drive,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit http://company.com/help at for additional issue.
GMC3012245,one drive,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit https://support.example.com which on additional issue.
GMC3456840,ppt,2002-05-15,the file is not syncing on the one drive system contact support@example.com or visit http://docs.company.com the which additional issue.
GMC3559699,share point,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact user@mail.com or visit https://support.example.com is for additional issue.
GMC3127388,one drive,2002-05-15,issue in managing file permission in one drive contact support@example.com or visit http://docs.company.com on is additional issue.
GMC3090142,share point,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit https://support.example.com for a additional issue.
GMC3290986,share point,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit https://support.example.com for for additional issue.
GMC3072802,ppt,2002-05-15,ppt crashes when adding images from http://company.com/help contact support@example.com or visit http://company.com/help the an additional issue.
GMC3872978,one drive,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact admin@company.com or visit http://company.com/help the a additional issue.
GMC3340732,ppt,2002-05-15,the excel sheet is locked for editing by admin@company.com contact admin@company.com or visit http://company.com/help a at additional issue.
GMC3044950,excel,2002-05-15,ppt crashes when adding images from http://company.com/help contact support@example.com or visit http://company.com/help which which additional issue.
GMC3917446,one drive,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact support@example.com or visit http://company.com/help on which additional issue.
GMC3370630,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact support@example.com or visit http://company.com/help which which additional issue.
GMC3117681,excel,2002-05-15,the excel sheet is locked for editing by admin@company.com contact support@example.com or visit http://company.com/help the on additional issue.
GMC3990082,excel,2002-05-15,the excel sheet is locked for editing by admin@company.com contact support@example.com or visit https://support.example.com a which additional issue.
GMC3687531,share point,2002-05-15,issue in managing file permission in one drive contact support@example.com or visit http://docs.company.com on at additional issue.
GMC3276815,share point,2002-05-15,user unable to upload file on share point due to permission at system level contact support@example.com or visit http://company.com/help a which additional issue.
GMC3655472,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact user@mail.com or visit https://support.example.com on on additional issue.
GMC3878089,ppt,2002-05-15,the file is not syncing on the one drive system contact admin@company.com or visit https://support.example.com a a additional issue.
GMC3172845,one drive,2002-05-15,the file is not syncing on the one drive system contact user@mail.com or visit http://company.com/help is which additional issue.
GMC3377803,one drive,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact admin@company.com or visit http://docs.company.com a on additional issue.
GMC3796115,one drive,2002-05-15,excel chart formatting resets automatically for a user contact user@mail.com or visit http://docs.company.com is which additional issue.
GMC3318156,ppt,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact support@example.com or visit https://support.example.com which at additional issue.
GMC3824142,excel,2002-05-15,share point link https://support.example.com not opening correctly contact admin@company.com or visit http://company.com/help on the additional issue.
GMC3453323,excel,2002-05-15,ppt crashes when adding images from http://company.com/help contact user@mail.com or visit http://docs.company.com which the additional issue.
GMC3489454,one drive,2002-05-15,excel chart formatting resets automatically for a user contact user@mail.com or visit http://docs.company.com at which additional issue.
GMC3636051,ppt,2002-05-15,share point link https://support.example.com not opening correctly contact support@example.com or visit http://company.com/help a a additional issue.
GMC3799400,one drive,2002-05-15,the excel sheet is locked for editing by admin@company.com contact admin@company.com or visit http://docs.company.com a is additional issue.
GMC3169074,excel,2002-05-15,the excel sheet is locked for editing by admin@company.com contact support@example.com or visit https://support.example.com a for additional issue.
GMC3676049,ppt,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit http://docs.company.com for on additional issue.
GMC3542042,ppt,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact admin@company.com or visit http://company.com/help the the additional issue.
GMC3233343,share point,2002-05-15,share point link https://support.example.com not opening correctly contact admin@company.com or visit https://support.example.com a at additional issue.
GMC3885563,ppt,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit http://company.com/help which for additional issue.
GMC3642365,one drive,2002-05-15,the file is not syncing on the one drive system contact support@example.com or visit http://docs.company.com for for additional issue.
GMC3200532,one drive,2002-05-15,the excel sheet is locked for editing by admin@company.com contact support@example.com or visit http://docs.company.com for on additional issue.
GMC3777146,share point,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit http://docs.company.com an the additional issue.
GMC3832231,excel,2002-05-15,share point link https://support.example.com not opening correctly contact support@example.com or visit https://support.example.com a for additional issue.
GMC3693905,one drive,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit https://support.example.com at for additional issue.
GMC3687015,one drive,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact support@example.com or visit http://docs.company.com an a additional issue.
GMC3870186,excel,2002-05-15,share point link https://support.example.com not opening correctly contact admin@company.com or visit https://support.example.com an on additional issue.
GMC3231149,ppt,2002-05-15,share point link https://support.example.com not opening correctly contact admin@company.com or visit https://support.example.com at which additional issue.
GMC3961525,ppt,2002-05-15,share point link https://support.example.com not opening correctly contact support@example.com or visit https://support.example.com the a additional issue.
GMC3322331,excel,2002-05-15,the file is not syncing on the one drive system contact admin@company.com or visit http://company.com/help an on additional issue.
GMC3771725,excel,2002-05-15,the excel sheet is locked for editing by admin@company.com contact user@mail.com or visit http://company.com/help at the additional issue.
GMC3908150,excel,2002-05-15,share point link https://support.example.com not opening correctly contact user@mail.com or visit http://company.com/help at a additional issue.
GMC3200171,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit https://support.example.com an on additional issue.
GMC3763683,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact admin@company.com or visit https://support.example.com an for additional issue.
GMC3052305,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit https://support.example.com at which additional issue.
GMC3572239,one drive,2002-05-15,the file is not syncing on the one drive system contact admin@company.com or visit http://company.com/help for which additional issue.
GMC3250564,share point,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit http://company.com/help at for additional issue.
GMC3698528,excel,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact user@mail.com or visit http://company.com/help on the additional issue.
GMC3805883,one drive,2002-05-15,issue in managing file permission in one drive contact support@example.com or visit http://company.com/help at for additional issue.
GMC3216056,one drive,2002-05-15,the file is not syncing on the one drive system contact admin@company.com or visit https://support.example.com the for additional issue.
GMC3980376,share point,2002-05-15,the excel sheet is locked for editing by admin@company.com contact user@mail.com or visit https://support.example.com for which additional issue.
GMC3231426,share point,2002-05-15,the file is not syncing on the one drive system contact admin@company.com or visit https://support.example.com an is additional issue.
GMC3085054,one drive,2002-05-15,the file is not syncing on the one drive system contact user@mail.com or visit https://support.example.com on a additional issue.
GMC3468107,ppt,2002-05-15,excel chart formatting resets automatically for a user contact user@mail.com or visit http://docs.company.com is on additional issue.
GMC3785909,excel,2002-05-15,ppt crashes when adding images from http://company.com/help contact user@mail.com or visit https://support.example.com on the additional issue.
GMC3789591,excel,2002-05-15,the file is not syncing on the one drive system contact support@example.com or visit http://docs.company.com the an additional issue.
GMC3677982,excel,2002-05-15,user unable to upload file on share point due to permission at system level contact support@example.com or visit http://docs.company.com which the additional issue.
GMC3181662,share point,2002-05-15,ppt crashes when adding images from http://company.com/help contact support@example.com or visit https://support.example.com on the additional issue.
GMC3495523,share point,2002-05-15,the excel sheet is locked for editing by admin@company.com contact support@example.com or visit https://support.example.com is is additional issue.
GMC3162613,one drive,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact admin@company.com or visit http://company.com/help which a additional issue.
GMC3283971,ppt,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact support@example.com or visit https://support.example.com on for additional issue.
GMC3942671,ppt,2002-05-15,the file is not syncing on the one drive system contact user@mail.com or visit https://support.example.com a which additional issue.
GMC3525201,ppt,2002-05-15,the file is not syncing on the one drive system contact admin@company.com or visit https://support.example.com a for additional issue.
GMC3287044,one drive,2002-05-15,the file is not syncing on the one drive system contact support@example.com or visit http://company.com/help at which additional issue.
GMC3851220,ppt,2002-05-15,user unable to upload file on share point due to permission at system level contact user@mail.com or visit http://docs.company.com on for additional issue.
GMC3830714,share point,2002-05-15,issue in managing file permission in one drive contact user@mail.com or visit http://docs.company.com an an additional issue.
GMC3600895,share point,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit http://company.com/help on a additional issue.
GMC3376215,share point,2002-05-15,the excel sheet is locked for editing by admin@company.com contact support@example.com or visit http://company.com/help at the additional issue.
GMC3330349,excel,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit http://docs.company.com at the additional issue.
GMC3307027,share point,2002-05-15,share point link https://support.example.com not opening correctly contact user@mail.com or visit https://support.example.com which on additional issue.
GMC3212366,excel,2002-05-15,user unable to upload file on share point due to permission at system level contact user@mail.com or visit http://docs.company.com which for additional issue.
GMC3696357,one drive,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact support@example.com or visit http://docs.company.com at the additional issue.
GMC3089484,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit http://company.com/help is on additional issue.
GMC3829321,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact admin@company.com or visit http://docs.company.com at for additional issue.
GMC3789307,share point,2002-05-15,ppt crashes when adding images from http://company.com/help contact support@example.com or visit http://docs.company.com is on additional issue.
GMC3836989,one drive,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit https://support.example.com for the additional issue.
GMC3086951,ppt,2002-05-15,user unable to upload file on share point due to permission at system level contact admin@company.com or visit https://support.example.com an a additional issue.
GMC3827604,share point,2002-05-15,user unable to upload file on share point due to permission at system level contact support@example.com or visit http://company.com/help at on additional issue.
GMC3364821,share point,2002-05-15,excel chart formatting resets automatically for a user contact admin@company.com or visit https://support.example.com for at additional issue.
GMC3277579,share point,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit http://company.com/help on is additional issue.
GMC3630413,one drive,2002-05-15,share point link https://support.example.com not opening correctly contact admin@company.com or visit http://docs.company.com a is additional issue.
GMC3565102,ppt,2002-05-15,issue in managing file permission in one drive contact user@mail.com or visit http://docs.company.com at for additional issue.
GMC3460717,share point,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact admin@company.com or visit https://support.example.com an the additional issue.
GMC3218535,one drive,2002-05-15,ppt crashes when adding images from http://company.com/help contact support@example.com or visit http://docs.company.com which the additional issue.
GMC3452167,ppt,2002-05-15,broken hyperlink in ppt slides which is causing errors on presentation contact support@example.com or visit http://docs.company.com for for additional issue.
GMC3456584,share point,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact user@mail.com or visit https://support.example.com which for additional issue.
GMC3486240,one drive,2002-05-15,ppt crashes when adding images from http://company.com/help contact admin@company.com or visit https://support.example.com a for additional issue.
GMC3876307,one drive,2002-05-15,issue in managing file permission in one drive contact user@mail.com or visit http://company.com/help on on additional issue.
GMC3239578,ppt,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact admin@company.com or visit http://docs.company.com the which additional issue.
GMC3320129,one drive,2002-05-15,excel chart formatting resets automatically for a user contact support@example.com or visit https://support.example.com is is additional issue.
GMC3216772,one drive,2002-05-15,excel formula =SUM(A1:A5) not working properly for user@mail.com contact user@mail.com or visit https://support.example.com on the additional issue.
GMC3150148,excel,2002-05-15,the file is not syncing on the one drive system contact admin@company.com or visit http://docs.company.com is for additional issue.
GMC3148191,excel,2002-05-15,ppt animations not playing when shared over http://docs.company.com contact support@example.com or visit https://support.example.com on an additional issue.
